No Hidden Layer,1 Hidden Layer,2 Hidden Layers
63.05,37.30833333,20.72
66.54,14.48833333,16.74
68.34,12.11,12.81
70.4,11.17166667,10.55
71.84,10.185,9.09
72.64,9.443333333,9.11
73.15,9.045,8.36
73.7,8.525,10.8
74.18,8.23,9.67
74.71,7.823333333,7.79
75.18,7.536666667,8.27
75.61,7.163333333,8.22
75.88,7.196666667,7.42
76.12,7.063333333,8.46
76.33,6.633333333,7.33
76.61,6.51,8.54
76.76,6.358333333,7.34
76.85,6.228333333,8.07
76.92,6.058333333,7.15
77,5.938333333,7.55
77.05,5.701666667,7.31
77.03,5.73,7
77.13,5.755,8.11
77.25,5.486666667,6.76
77.35,5.476666667,7.49
77.39,5.51,7.47
77.44,5.351666667,6.92
77.56,5.196666667,7.09
77.61,5.085,7.07
77.7,5.105,7.04
77.7,5.091666667,7.57
77.72,4.923333333,6.76
77.81,4.936666667,6.69
77.85,4.74,7.35
77.87,4.938333333,8.31
77.89,4.806666667,6.94
77.9,4.813333333,7.07
77.93,4.718333333,7.06
77.93,4.723333333,7.86
77.98,4.591666667,7.13
78,4.571666667,6.91
78.01,4.625,6.54
78.05,4.711666667,6.07
78.07,4.675,6.73
78.12,4.428333333,7.92
78.15,4.458333333,7.2
78.17,4.388333333,7.33
78.17,4.193333333,6.46
78.18,4.211666667,6.39
78.2,4.211666667,7.57
78.23,4.193333333,6.94
78.25,4.013333333,6.83
78.3,4.051666667,6.84
78.32,4.036666667,6.32
78.34,4.008333333,6.51
78.37,3.975,6.32
78.37,3.86,6.28
78.41,3.82,6.08
78.42,3.68,6.3
78.48,3.748333333,6.93